id,created_at,text
1050918295690465280,2018-10-13 01:17:01,"b'RT @realDonaldTrump: Don\xe2\x80\x99t miss our GREAT @FLOTUS, Melania, on @ABC @ABC2020 tonight at 10pmE. Enjoy!'"
1050906531162677248,2018-10-13 00:30:16,"b'Beautiful MAKE AMERICA GREAT AGAIN rally in Lebanon, Ohio. Thank you! #ICYMI, watch here: https://t.co/UGQAmARPKR https://t.co/6nsoV8yTx3'"
1050872423317471232,2018-10-12 22:14:44,"b'The GREAT football (and lacrosse) player, Jim Brown outside the West Wing of the @WhiteHouse. He is also a tremendo\xe2\x80\xa6 https://t.co/p7FLWOAg68'"
1050869299567562752,2018-10-12 22:02:19,b'https://t.co/HHTwwbuKa2'
1050861279529893888,2018-10-12 21:30:27,b'RT @WhiteHouse: https://t.co/IqLBKtgNEf'
1050832839678353410,2018-10-12 19:37:27,b'Happy #NationalFarmersDay! With the recent #USMCA our GREAT FARMERS will do better than ever before!! https://t.co/PMS4z2EScY'
1050826148131860480,2018-10-12 19:10:51,"b'Don\xe2\x80\x99t miss our GREAT @FLOTUS, Melania, on @ABC @ABC2020 tonight at 10pmE. Enjoy!'"
1050810652271529984,2018-10-12 18:09:17,b'People have no idea how hard Hurricane Michael has hit the great state of Georgia. I will be visiting both Florida\xe2\x80\xa6 https://t.co/YoYRIV22Ji'
1050788995377049601,2018-10-12 16:43:13,"b'PROMISES MADE, PROMISES KEPT! https://t.co/2lk8Fjspe4'"
1050777580553588738,2018-10-12 15:57:52,b'REGISTER TO VOTE! https://t.co/0pWiwCHGbh https://t.co/EOCLoJJ24B'
1050754462405537798,2018-10-12 14:26:00,b'PASTOR BRUNSON JUST RELEASED. WILL BE HOME SOON!'
1050747691062493185,2018-10-12 13:59:06,"b'My thoughts and prayers are with Pastor Brunson, and we hope to have him safely back home soon!'"
1050746600916754432,2018-10-12 13:54:46,"b'So nice, everyone wants Ivanka Trump to be the new United Nations Ambassador. She would be incredible, but I can al\xe2\x80\xa6 https://t.co/Dab4lBqUNq'"
1050743405578457093,2018-10-12 13:42:04,b'Working very hard on Pastor Brunson!'
1050518765828489217,2018-10-11 22:49:26,"b'RT @FLGuard: There are serious communication issues in the Panhandle after #HurricaneMichael. If you are worried about someone, visit https\xe2\x80\xa6'"
1050509946880708611,2018-10-11 22:14:23,b'RT @WhiteHouse: President Trump provides an update on the response to Hurricane Michael: https://t.co/zmnHXKakYw'
1050436733039534080,2018-10-11 17:23:27,"b'RT @WhiteHouse: Moments ago, President Trump signed the Music Modernization Act, which will close loopholes in our digital royalty laws to\xe2\x80\xa6'"
1050421238429077505,2018-10-11 16:21:53,b'https://t.co/xJ9QYGMJXa'
1050396488839430144,2018-10-11 14:43:33,b'https://t.co/rsxEwbFZht'
1050395852466995202,2018-10-11 14:41:01,b'https://t.co/h47S6T9u8V'
